Date,Fighter 1,Fighter 2,Result,Split Dec?
09/5/2020,Greg Hardy,Yorgan De Castro,1,0
09/5/2020,Anthony Pettis,Donald Cerrone,1,0
09/5/2020,Aleksei Oleinik,Fabricio Werdum,1,1
09/5/2020,Carla Esparza,Michelle Waterson-Gomez,1,1
09/5/2020,Vicente Luque,Niko Price,1,0
09/5/2020,Bryce Mitchell,Charles Rosa,1,0
09/5/2020,Ryan Spann,Sam Alvey,1,1
13/5/2020,Anthony Smith,Glover Teixeira,2,0
13/5/2020,Ben Rothwell,Ovince Saint Preux,1,1
13/5/2020,Alexander Hernandez,Drew Dober,2,0
13/5/2020,Ricky Simon,Ray Borg,1,1
13/5/2020,Andrei Arlovski,Philipe Lins,1,0
13/5/2020,Michael Johnson,Thiago Moises,2,0
13/5/2020,Sijara Eubanks,Sarah Moras,1,0
13/5/2020,Gabriel Benitez,Omar Morales,2,0
13/5/2020,Hunter Azure,Brian Kelleher,2,0
13/5/2020,Chase Sherman,Ike Villanueva,1,0
16/5/2020,Alistair Overeem,Walt Harris,1,0
16/5/2020,Claudia Gadelha,Angela Hill,1,1
16/5/2020,Dan Ige,Edson Barboza,1,1
16/5/2020,Eryk Anders,Krzysztof Jotko,2,0
16/5/2020,Song Yadong,Marlon Vera,1,0
16/5/2020,Matt Brown,Miguel Baeza,2,0
16/5/2020,Anthony Hernandez,Kevin Holland,2,0
16/5/2020,Giga Chikadze,Irwin Rivera,1,0
16/5/2020,Darren Elkins,Nate Landwehr,2,0
16/5/2020,Cortney Casey,Mara Romero Borella,1,0
16/5/2020,Rodrigo Nascimento,Don'Tale Mayes,1,0
30/5/2020,Tyron Woodley,Gilbert Burns,2,0
30/5/2020,Blagoy Ivanov,Augusto Sakai,2,1
30/5/2020,Billy Quarantillo,Spike Carlyle,1,0
30/5/2020,Roosevelt Roberts,Brok Weaver,1,0
30/5/2020,Mackenzie Dern,Hannah Cifers,1,0
30/5/2020,Katlyn Cerminara,Antonina Shevchenko,1,0
30/5/2020,Daniel Rodriguez,Gabe Green,1,0
30/5/2020,Jamahal Hill,Klidson Abreu,1,1
30/5/2020,Tim Elliott,Brandon Royval,2,0
30/5/2020,Louis Smolka,Casey Kenney,2,0
30/5/2020,Chris Gutierrez,Vince Morales,1,0
06/6/2020,Amanda Nunes,Felicia Spencer,1,0
06/6/2020,Raphael Assuncao,Cody Garbrandt,2,0
06/6/2020,Aljamain Sterling,Cory Sandhagen,1,0
06/6/2020,Neil Magny,Anthony Rocco Martin,1,0
06/6/2020,Eddie Wineland,Sean O'Malley,2,0
06/6/2020,Alex Caceres,Chase Hooper,1,0
06/6/2020,Ian Heinisch,Gerald Meerschaert,1,0
06/6/2020,Cody Stamann,Brian Kelleher,1,0
06/6/2020,Charles Byrd,Maki Pitolo,2,0
06/6/2020,Jussier Formiga,Alex Perez,2,0
06/6/2020,Alonzo Menifield,Devin Clark,2,0
06/6/2020,Evan Dunham,Herbert Burns,2,0
13/6/2020,Jessica Eye,Cynthia Calvillo,2,0
13/6/2020,Karl Roberson,Marvin Vettori,2,0
13/6/2020,Charles Rosa,Kevin Aguilar,1,1
13/6/2020,Andre Fili,Charles Jourdain,1,1
13/6/2020,Jordan Espinosa,Mark De La Rosa,1,0
13/6/2020,Mariya Agapova,Hannah Cifers,1,0
13/6/2020,Merab Dvalishvili,Gustavo Lopez,1,0
13/6/2020,Julia Avila,Gina Mazany,1,0
13/6/2020,Tyson Nam,Zarrukh Adashev,1,0
13/6/2020,Anthony Ivy,Christian Aguilera,2,0
20/6/2020,Curtis Blaydes,Alexander Volkov,1,0
20/6/2020,Josh Emmett,Shane Burgos,1,0
20/6/2020,Raquel Pennington,Marion Reneau,1,0
20/6/2020,Belal Muhammad,Lyman Good,1,0
20/6/2020,Jim Miller,Roosevelt Roberts,1,0
20/6/2020,Clay Guida,King Green,2,0
20/6/2020,Tecia Pennington,Brianna Fortino,1,0
20/6/2020,Marc-Andre Barriault,Oskar Piechota,1,1
20/6/2020,Cortney Casey,Gillian Robertson,2,0
20/6/2020,Frank Camacho,Justin Jaynes,2,0
20/6/2020,Roxanne Modafferi,Lauren Murphy,2,0
20/6/2020,Austin Hubbard,Max Rohskopf,1,0
27/6/2020,Dustin Poirier,Dan Hooker,1,0
27/6/2020,Mike Perry,Mickey Gall,1,0
27/6/2020,Gian Villante,Maurice Greene,2,0
27/6/2020,Brendan Allen,Kyle Daukaus,1,0
